Year,Region,Value
2015,,
2015,Autonomous Republic of Crimea,
2015,Vinnytsya,
2015,Volyn,
2015,Dnipropetrovsk,
2015,Donetsk,
2015,Zhytomyr,
2015,Zakarpattya,
2015,Zaporizhzhya,
2015,Ivano-Frankivsk,
2015,Kyiv,
2015,Kirovohrad,
2015,Luhansk,
2015,Lviv,
2015,Mykolayiv,
2015,Odesa,
2015,Poltava,
2015,Rivne,
2015,Sumy,
2015,Ternopil,
2015,Kharkiv,
2015,Kherson,
2015,Khmelnytskiy,
2015,Cherkasy,
2015,Chernivtsi,
2015,Chernihiv,
2015,the city of Kyiv,
2015,city Sevastopol,
2016,,
2016,Autonomous Republic of Crimea,
2016,Vinnytsya,
2016,Volyn,
2016,Dnipropetrovsk,
2016,Donetsk,
2016,Zhytomyr,
2016,Zakarpattya,
2016,Zaporizhzhya,
2016,Ivano-Frankivsk,
2016,Kyiv,
2016,Kirovohrad,
2016,Luhansk,
2016,Lviv,
2016,Mykolayiv,
2016,Odesa,
2016,Poltava,
2016,Rivne,
2016,Sumy,
2016,Ternopil,
2016,Kharkiv,
2016,Kherson,
2016,Khmelnytskiy,
2016,Cherkasy,
2016,Chernivtsi,
2016,Chernihiv,
2016,the city of Kyiv,
2016,city Sevastopol,
2017,,
2017,Autonomous Republic of Crimea,
2017,Vinnytsya,
2017,Volyn,
2017,Dnipropetrovsk,
2017,Donetsk,
2017,Zhytomyr,
2017,Zakarpattya,
2017,Zaporizhzhya,
2017,Ivano-Frankivsk,
2017,Kyiv,
2017,Kirovohrad,
2017,Luhansk,
2017,Lviv,
2017,Mykolayiv,
2017,Odesa,
2017,Poltava,
2017,Rivne,
2017,Sumy,
2017,Ternopil,
2017,Kharkiv,
2017,Kherson,
2017,Khmelnytskiy,
2017,Cherkasy,
2017,Chernivtsi,
2017,Chernihiv,
2017,the city of Kyiv,
2017,city Sevastopol,
2018,,
2018,Autonomous Republic of Crimea,
2018,Vinnytsya,
2018,Volyn,
2018,Dnipropetrovsk,
2018,Donetsk,
2018,Zhytomyr,
2018,Zakarpattya,
2018,Zaporizhzhya,
2018,Ivano-Frankivsk,
2018,Kyiv,
2018,Kirovohrad,
2018,Luhansk,
2018,Lviv,
2018,Mykolayiv,
2018,Odesa,
2018,Poltava,
2018,Rivne,
2018,Sumy,
2018,Ternopil,
2018,Kharkiv,
2018,Kherson,
2018,Khmelnytskiy,
2018,Cherkasy,
2018,Chernivtsi,
2018,Chernihiv,
2018,the city of Kyiv,
2018,city Sevastopol,
2019,,
2019,Autonomous Republic of Crimea,
2019,Vinnytsya,
2019,Volyn,
2019,Dnipropetrovsk,
2019,Donetsk,
2019,Zhytomyr,
2019,Zakarpattya,
2019,Zaporizhzhya,
2019,Ivano-Frankivsk,
2019,Kyiv,
2019,Kirovohrad,
2019,Luhansk,
2019,Lviv,
2019,Mykolayiv,
2019,Odesa,
2019,Poltava,
2019,Rivne,
2019,Sumy,
2019,Ternopil,
2019,Kharkiv,
2019,Kherson,
2019,Khmelnytskiy,
2019,Cherkasy,
2019,Chernivtsi,
2019,Chernihiv,
2019,the city of Kyiv,
2019,city Sevastopol,
2020,,
2020,Autonomous Republic of Crimea,
2020,Vinnytsya,
2020,Volyn,
2020,Dnipropetrovsk,
2020,Donetsk,
2020,Zhytomyr,
2020,Zakarpattya,
2020,Zaporizhzhya,
2020,Ivano-Frankivsk,
2020,Kyiv,
2020,Kirovohrad,
2020,Luhansk,
2020,Lviv,
2020,Mykolayiv,
2020,Odesa,
2020,Poltava,
2020,Rivne,
2020,Sumy,
2020,Ternopil,
2020,Kharkiv,
2020,Kherson,
2020,Khmelnytskiy,
2020,Cherkasy,
2020,Chernivtsi,
2020,Chernihiv,
2020,the city of Kyiv,
2020,city Sevastopol,
2021,,
2021,Autonomous Republic of Crimea,
2021,Vinnytsya,
2021,Volyn,
2021,Dnipropetrovsk,
2021,Donetsk,
2021,Zhytomyr,
2021,Zakarpattya,
2021,Zaporizhzhya,
2021,Ivano-Frankivsk,
2021,Kyiv,
2021,Kirovohrad,
2021,Luhansk,
2021,Lviv,
2021,Mykolayiv,
2021,Odesa,
2021,Poltava,
2021,Rivne,
2021,Sumy,
2021,Ternopil,
2021,Kharkiv,
2021,Kherson,
2021,Khmelnytskiy,
2021,Cherkasy,
2021,Chernivtsi,
2021,Chernihiv,
