Year,Subject,Sex,Type of residence,Type of educational institution,Value
2015,,,,,
2016,,,,,
2017,,,,,
2019,,,,,
2020,,,,,
2022,,,,,
2023,,,,,
2018,reading,,,,86.2
2018,math,,,,86.4
2018,science,,,,
2021,reading,,,,83.1
2021,math,,,,83.3
2021,science,,,,
2024,reading,,,,82.3
2024,math,,,,85.4
2024,science,,,,83.9
2018,reading,females,,,89.9
2018,math,females,,,88.2
2021,reading,females,,,86.0
2021,math,females,,,84.7
2024,reading,females,,,85.5
2024,math,females,,,83.5
2024,science,females,,,84.2
2018,reading,males,,,83.0
2018,math,males,,,85.2
2021,reading,males,,,79.6
2021,math,males,,,83.1
2024,reading,males,,,79.6
2024,math,males,,,87.8
2024,science,males,,,84.4
2018,reading,,urban,,89.9
2018,math,,urban,,91.1
2021,reading,,urban,,87.1
2021,math,,urban,,88.8
2024,reading,,urban,,87.3
2024,math,,urban,,91.0
2024,science,,urban,,87.3
2018,reading,,rural,,78.4
2018,math,,rural,,76.8
2021,reading,,rural,,76.9
2021,math,,rural,,77.2
2024,reading,,rural,,74.7
2024,math,,rural,,77.1
2024,science,,rural,,78.8
2018,reading,,,gsei,84.8
2018,math,,,gsei,84.4
2021,reading,,,gsei,79.5
2021,math,,,gsei,81.1
2024,reading,,,gsei,83.9
2024,math,,,gsei,85.3
2024,science,,,gsei,83.3
2018,reading,,,gymnasium,88.7
2018,math,,,gymnasium,91.7
2021,reading,,,gymnasium,91.7
2021,math,,,gymnasium,93.1
2024,reading,,,gymnasium,80.5
2024,math,,,gymnasium,84.2
2024,science,,,gymnasium,83.7
2018,reading,,,specialized_school,93.9
2018,math,,,specialized_school,94.7
2021,reading,,,specialized_school,92.9
2021,math,,,specialized_school,92.1
2024,reading,,,specialized_school,91.0
2024,math,,,specialized_school,97.6
2024,science,,,specialized_school,89.4
