Year,Consumer categories,Value
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
2021,,1.6
2022,,1.8
2023,,1.7
2024,,1.8
2015,household,
2016,household,
2017,household,
2018,household,
2019,household,
2020,household,
2021,household,1.2
2022,household,1.5
2023,household,1.4
2024,household,1.4
2015,non-household,
2016,non-household,
2017,non-household,
2018,non-household,21.5
2019,non-household,29.7
2020,non-household,35.9
2021,non-household,45.4
2022,non-household,46.4
2023,non-household,49.5
2024,non-household,54.5
